Test Size,Random State,Neighbors,Weight,Metric,Accuracy,Precision,Recall,Specificity
0.15,123,9,distance,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,9,distance,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,11,uniform,euclidean,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,11,uniform,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,11,distance,euclidean,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,11,distance,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,13,uniform,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,13,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,13,distance,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,13,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,19,uniform,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,19,uniform,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,19,distance,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,19,distance,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,21,uniform,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,21,uniform,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,21,distance,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,21,distance,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,23,uniform,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,23,uniform,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,23,distance,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,23,distance,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,25,uniform,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,25,uniform,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,25,distance,euclidean,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,25,distance,manhattan,0.64,0.6086956521739131,1.0,0.18181818181818182
0.15,123,27,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,27,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,27,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,27,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,29,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,29,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,29,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,29,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,31,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,31,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,31,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,31,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,33,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,33,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,33,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,33,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,35,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,35,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,35,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,35,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,37,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,37,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,37,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,37,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,39,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,39,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,39,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,39,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,41,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,41,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,41,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,41,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,43,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,43,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,43,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,43,distance,manhattan,0.56,0.56,1.0,0.0
0.15,123,45,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,45,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,45,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,45,distance,manhattan,0.56,0.56,1.0,0.0
0.15,123,47,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,47,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,47,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,47,distance,manhattan,0.56,0.56,1.0,0.0
0.15,123,49,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,49,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,49,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,49,distance,manhattan,0.56,0.56,1.0,0.0
