Test Size,Random State,N_Neighbors,Accuracy,Precision,Recall
0.3,70,11,0.6260869565217392,0.6324561403508773,0.8846153846153847
0.3,34,3,0.6608695652173913,0.6832936507936508,0.7934065934065934
0.3,34,5,0.6521739130434783,0.6798778998778998,0.8120879120879122
0.3,34,7,0.6869565217391305,0.7023872180451127,0.8241758241758242
0.3,34,9,0.6608695652173913,0.6683333333333333,0.8549450549450549
0.3,34,11,0.6608695652173913,0.66508584294962,0.8846153846153847
0.3,74,3,0.6695652173913043,0.6830228758169935,0.823076923076923
0.3,74,5,0.6608695652173913,0.6735606361302956,0.8538461538461538
0.3,74,7,0.6695652173913044,0.6809453781512605,0.8384615384615385
0.3,74,9,0.6608695652173914,0.6621288515406162,0.8978021978021978
0.3,74,11,0.6434782608695653,0.642437343358396,0.9109890109890111
0.35,42,3,0.6904761904761905,0.7298015873015873,0.8252747252747253
0.35,42,5,0.70995670995671,0.7373856209150327,0.853846153846154
0.35,42,7,0.6627705627705628,0.693954248366013,0.8549450549450549
0.35,42,9,0.6627705627705628,0.6979010025062656,0.8395604395604396
0.35,42,11,0.6541125541125541,0.675343137254902,0.8978021978021978
0.35,123,3,0.7004329004329004,0.7361337355455003,0.8417582417582418
0.35,123,5,0.6813852813852814,0.718172268907563,0.8406593406593406
0.35,123,7,0.6536796536796536,0.6869117647058823,0.8549450549450549
0.35,123,9,0.6532467532467532,0.6755185758513933,0.8989010989010989
0.35,123,11,0.6722943722943724,0.6851023391812866,0.9131868131868132
0.35,456,3,0.7480519480519481,0.7955052790346908,0.8657142857142859
0.35,456,5,0.7484848484848485,0.7709795321637427,0.9047619047619048
0.35,456,7,0.7675324675324675,0.7729893360853113,0.9457142857142857
0.35,456,9,0.7484848484848485,0.7540350877192983,0.9457142857142857
0.35,456,11,0.758008658008658,0.7529411764705882,0.9723809523809525
0.35,89,3,0.6740259740259741,0.6854212454212455,0.8038461538461539
0.35,89,5,0.6632034632034631,0.6597222222222222,0.8525641025641025
0.35,89,7,0.6722943722943724,0.6591729323308272,0.9012820512820513
0.35,89,9,0.6346320346320347,0.6167113863089095,0.95
0.35,89,11,0.6536796536796536,0.6322681704260651,0.95
0.35,36,3,0.7103896103896105,0.7225490196078431,0.8978021978021978
0.35,36,5,0.690909090909091,0.7064499484004128,0.8989010989010989
0.35,36,7,0.7281385281385282,0.7309523809523809,0.9285714285714285
0.35,36,9,0.7095238095238096,0.7123716153127918,0.9274725274725275
0.35,36,11,0.6913419913419914,0.6901321932281685,0.9417582417582417
0.35,95,3,0.6722943722943723,0.6947875816993464,0.8505494505494505
0.35,95,5,0.6636363636363636,0.6821895424836601,0.8659340659340661
0.35,95,7,0.6445887445887446,0.6567251461988304,0.9109890109890111
0.35,95,9,0.6350649350649351,0.653047815617475,0.8956043956043956
0.35,95,11,0.6441558441558441,0.6533918128654971,0.9252747252747253
0.35,70,3,0.6164502164502165,0.652032967032967,0.7205128205128205
0.35,70,5,0.6341991341991342,0.6455555555555554,0.8025641025641026
0.35,70,7,0.6255411255411255,0.6348014077425843,0.8358974358974359
0.35,70,9,0.6813852813852814,0.6663648090815274,0.9012820512820513
0.35,70,11,0.6445887445887446,0.6397222222222222,0.885897435897436
0.35,34,3,0.7103896103896105,0.7470494864612511,0.8010989010989011
0.35,34,5,0.7008658008658009,0.736056224477277,0.8010989010989011
0.35,34,7,0.6545454545454545,0.6830185758513931,0.8164835164835165
0.35,34,9,0.6731601731601732,0.6890497737556561,0.8615384615384617
0.35,34,11,0.6545454545454545,0.671970121381886,0.8615384615384617
0.35,74,3,0.6558441558441558,0.6757579185520362,0.8102564102564103
0.35,74,5,0.6822510822510822,0.6863157894736841,0.8871794871794872
0.35,74,7,0.6541125541125541,0.6538382154481226,0.8884615384615385
0.35,74,9,0.6359307359307359,0.6319966583124478,0.9205128205128205
0.35,74,11,0.635064935064935,0.6329824561403509,0.9205128205128206
0.4,42,3,0.6863157894736842,0.7173992673992673,0.8217948717948718
0.4,42,5,0.6563157894736842,0.6811918937615532,0.8525641025641025
0.4,42,7,0.6863157894736842,0.6963513610572434,0.8846153846153847
0.4,42,9,0.6663157894736841,0.6825515428843602,0.8679487179487179
0.4,42,11,0.6363157894736842,0.6561085972850679,0.885897435897436
0.4,123,3,0.6857894736842105,0.7261914556032203,0.8051282051282052
0.4,123,5,0.6457894736842106,0.6766483516483517,0.8192307692307693
