Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.15,123,100.0,l1,liblinear,balanced,0.6571428571428571,0.7529761904761905,0.6797385620915033
0.15,123,100.0,l2,liblinear,,0.6571428571428571,0.7314462627156125,0.7137254901960784
0.15,123,100.0,l2,liblinear,balanced,0.65,0.7285050862450243,0.7026143790849673
0.15,123,1000.0,l1,liblinear,,0.6357142857142857,0.720690094219506,0.6797385620915033
0.15,123,1000.0,l1,liblinear,balanced,0.6357142857142857,0.720690094219506,0.6797385620915033
0.15,123,1000.0,l2,liblinear,,0.6428571428571428,0.7224444801844182,0.6908496732026144
0.15,123,1000.0,l2,liblinear,balanced,0.6428571428571428,0.7224444801844182,0.6908496732026144
0.15,456,0.1,l1,liblinear,,0.6428571428571428,0.7265714285714285,0.7497076023391813
0.15,456,0.1,l1,liblinear,balanced,0.6571428571428571,0.8221428571428572,0.6309941520467837
0.15,456,0.1,l2,liblinear,,0.7071428571428571,0.7788239538239538,0.7818713450292398
0.15,456,0.1,l2,liblinear,balanced,0.7357142857142857,0.8445658263305322,0.7385964912280701
0.15,456,1.0,l1,liblinear,,0.7071428571428572,0.7851963241436926,0.7725146198830408
0.15,456,1.0,l1,liblinear,balanced,0.7142857142857143,0.8237820512820513,0.728654970760234
0.15,456,1.0,l2,liblinear,,0.7428571428571429,0.8129761904761905,0.8046783625730995
0.15,456,1.0,l2,liblinear,balanced,0.7142857142857142,0.8106792717086835,0.7502923976608187
0.15,456,10.0,l1,liblinear,,0.7357142857142858,0.7926507445083296,0.8152046783625732
0.15,456,10.0,l1,liblinear,balanced,0.7357142857142858,0.7926507445083296,0.8152046783625732
0.15,456,10.0,l2,liblinear,,0.7285714285714285,0.7904448621553886,0.804093567251462
0.15,456,10.0,l2,liblinear,balanced,0.7214285714285713,0.7879448621553885,0.7929824561403509
0.15,456,100.0,l1,liblinear,,0.7285714285714286,0.7908963585434174,0.8046783625730995
0.15,456,100.0,l1,liblinear,balanced,0.7285714285714286,0.7908963585434174,0.8046783625730995
0.15,456,100.0,l2,liblinear,,0.7285714285714285,0.7904448621553886,0.804093567251462
0.15,456,100.0,l2,liblinear,balanced,0.7285714285714285,0.7904448621553886,0.804093567251462
0.15,456,1000.0,l1,liblinear,,0.7357142857142858,0.7932773109243698,0.8157894736842106
0.15,456,1000.0,l1,liblinear,balanced,0.7357142857142858,0.7932773109243698,0.8157894736842106
0.15,456,1000.0,l2,liblinear,,0.7357142857142858,0.7928258145363409,0.8152046783625732
0.15,456,1000.0,l2,liblinear,balanced,0.7214285714285714,0.7886904761904763,0.7935672514619883
0.15,89,0.1,l1,liblinear,,0.6642857142857143,0.7688532382650031,0.6323529411764706
0.15,89,0.1,l1,liblinear,balanced,0.6857142857142857,0.8043137254901961,0.6323529411764707
0.15,89,0.1,l2,liblinear,,0.7714285714285714,0.818954248366013,0.7985294117647059
0.15,89,0.1,l2,liblinear,balanced,0.75,0.824812834224599,0.7382352941176471
0.15,89,1.0,l1,liblinear,,0.6785714285714286,0.7382819794584501,0.7154411764705884
0.15,89,1.0,l1,liblinear,balanced,0.6857142857142857,0.7548265460030166,0.7029411764705883
0.15,89,1.0,l2,liblinear,,0.7142857142857144,0.7802287581699348,0.7389705882352942
0.15,89,1.0,l2,liblinear,balanced,0.6857142857142857,0.7661764705882353,0.6911764705882353
0.15,89,10.0,l1,liblinear,,0.6857142857142857,0.7355392156862746,0.7514705882352942
0.15,89,10.0,l1,liblinear,balanced,0.6857142857142857,0.7355392156862746,0.7514705882352942
0.15,89,10.0,l2,liblinear,,0.6785714285714286,0.7399836601307189,0.7154411764705882
0.15,89,10.0,l2,liblinear,balanced,0.6857142857142857,0.7514122315592904,0.7154411764705882
0.15,89,100.0,l1,liblinear,,0.6857142857142857,0.7387409700722395,0.7397058823529412
0.15,89,100.0,l1,liblinear,balanced,0.6857142857142857,0.7387409700722395,0.7397058823529412
0.15,89,100.0,l2,liblinear,,0.6857142857142857,0.7387409700722395,0.7397058823529412
0.15,89,100.0,l2,liblinear,balanced,0.6928571428571428,0.7501695415008108,0.7397058823529412
