Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall
0.2,89,500,balanced,0.7279202279202279,0.7195238095238097,0.8991666666666667
0.25,42,10,,0.7,0.7591269841269842,0.7566666666666666
0.25,42,10,balanced,0.7070000000000001,0.783968253968254,0.7550000000000001
0.25,42,50,,0.7150000000000001,0.7507843137254901,0.8316666666666667
0.25,42,50,balanced,0.7226666666666668,0.7704893360853113,0.8191666666666666
0.25,42,100,,0.6910000000000001,0.731954887218045,0.8200000000000001
0.25,42,100,balanced,0.6823333333333333,0.733921568627451,0.8200000000000001
0.25,42,200,,0.7156666666666667,0.7570494864612511,0.8200000000000001
0.25,42,200,balanced,0.7146666666666668,0.7586549707602339,0.8458333333333334
0.25,42,500,,0.7396666666666667,0.7716275984077842,0.8458333333333334
0.25,42,500,balanced,0.7476666666666667,0.77046832768195,0.8716666666666668
0.25,123,10,,0.6746666666666666,0.7438095238095238,0.7591666666666667
0.25,123,10,balanced,0.7066666666666668,0.7635854341736694,0.7975
0.25,123,50,,0.675,0.7077777777777777,0.8474999999999999
0.25,123,50,balanced,0.6746666666666666,0.7059133126934984,0.8474999999999999
0.25,123,100,,0.6823333333333335,0.7120716112531968,0.86
0.25,123,100,balanced,0.6493333333333333,0.6853193590035696,0.8474999999999999
0.25,123,200,,0.6826666666666668,0.7095906432748538,0.8608333333333335
0.25,123,200,balanced,0.6826666666666668,0.7066742944317315,0.8724999999999999
0.25,123,500,,0.6823333333333333,0.7060378995228908,0.8724999999999999
0.25,123,500,balanced,0.6746666666666667,0.6937503178235443,0.8858333333333335
0.25,456,10,,0.6356666666666667,0.7250025799793601,0.7507352941176471
0.25,456,10,balanced,0.7,0.7526905499041721,0.8338235294117646
0.25,456,50,,0.66,0.7183600713012478,0.8213235294117647
0.25,456,50,balanced,0.7406666666666667,0.7512077294685989,0.9294117647058823
0.25,456,100,,0.7243333333333333,0.7569858246328834,0.8808823529411764
0.25,456,100,balanced,0.7326666666666667,0.7429537612146306,0.9294117647058823
0.25,456,200,,0.7076666666666667,0.7286231884057971,0.9161764705882354
0.25,456,200,balanced,0.6996666666666667,0.7157553798858146,0.9294117647058823
0.25,456,500,,0.7493333333333333,0.7571695212999561,0.9411764705882353
0.25,456,500,balanced,0.7076666666666667,0.715286734623119,0.9529411764705882
0.25,89,10,,0.7003333333333333,0.7662004662004662,0.7104761904761905
0.25,89,10,balanced,0.6586666666666666,0.7183150183150183,0.6961904761904761
0.25,89,50,,0.7566666666666666,0.7805926916221033,0.837142857142857
0.25,89,50,balanced,0.7230000000000001,0.7651165011459129,0.7809523809523811
0.25,89,100,,0.7076666666666667,0.7324509803921568,0.822857142857143
