Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.2,123,100.0,l2,liblinear,,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,100.0,l2,liblinear,balanced,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,1000.0,l1,liblinear,,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,1000.0,l1,liblinear,balanced,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,1000.0,l2,liblinear,,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,1000.0,l2,liblinear,balanced,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,456,0.1,l1,liblinear,,0.45454545454545453,0.41379310344827586,0.9230769230769231,0.15
0.2,456,0.1,l1,liblinear,balanced,0.7575757575757576,0.6923076923076923,0.6923076923076923,0.8
0.2,456,0.1,l2,liblinear,,0.6363636363636364,0.5263157894736842,0.7692307692307693,0.55
0.2,456,0.1,l2,liblinear,balanced,0.6666666666666666,0.5625,0.6923076923076923,0.65
0.2,456,1.0,l1,liblinear,,0.6363636363636364,0.5263157894736842,0.7692307692307693,0.55
0.2,456,1.0,l1,liblinear,balanced,0.696969696969697,0.6,0.6923076923076923,0.7
0.2,456,1.0,l2,liblinear,,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,1.0,l2,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,10.0,l1,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,10.0,l1,liblinear,balanced,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,10.0,l2,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,10.0,l2,liblinear,balanced,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,100.0,l1,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,100.0,l1,liblinear,balanced,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,100.0,l2,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,100.0,l2,liblinear,balanced,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,1000.0,l1,liblinear,,0.5757575757575758,0.47058823529411764,0.6153846153846154,0.55
0.2,456,1000.0,l1,liblinear,balanced,0.5757575757575758,0.47058823529411764,0.6153846153846154,0.55
0.2,456,1000.0,l2,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,1000.0,l2,liblinear,balanced,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,89,0.1,l1,liblinear,,0.5757575757575758,0.7368421052631579,0.6086956521739131,0.5
0.2,89,0.1,l1,liblinear,balanced,0.5454545454545454,0.7222222222222222,0.5652173913043478,0.5
0.2,89,0.1,l2,liblinear,,0.6666666666666666,0.8,0.6956521739130435,0.6
