Accuracy,Precision,Recall,Specificity,Depth,Min_Samples_Split,Min_Samples_Leaf,Test_Size,Random_State
0.6060606060606061,0.6509455456823878,0.6060606060606061,0.55,6,2,2,0.4,89
0.68,0.68,0.68,0.6,6,2,3,0.15,42
0.56,0.5442105263157895,0.56,0.2727272727272727,6,2,3,0.15,123
0.52,0.5358974358974359,0.52,0.5333333333333333,6,2,3,0.15,456
0.76,0.76,0.76,0.5714285714285714,6,2,3,0.15,89
0.5757575757575758,0.5757575757575758,0.5757575757575758,0.46153846153846156,6,2,3,0.2,42
0.6060606060606061,0.5977961432506886,0.6060606060606061,0.42857142857142855,6,2,3,0.2,123
0.5757575757575758,0.6020499108734403,0.5757575757575758,0.55,6,2,3,0.2,456
0.7878787878787878,0.7828282828282829,0.7878787878787878,0.6,6,2,3,0.2,89
0.6666666666666666,0.6848072562358276,0.6666666666666666,0.7058823529411765,6,2,3,0.25,42
0.6666666666666666,0.6823069403714564,0.6666666666666666,0.42105263157894735,6,2,3,0.25,123
0.7142857142857143,0.7440476190476191,0.7142857142857143,0.625,6,2,3,0.25,456
0.8095238095238095,0.8214285714285714,0.8095238095238095,0.75,6,2,3,0.25,89
0.62,0.6272000000000001,0.62,0.6363636363636364,6,2,3,0.3,42
0.6,0.6102564102564102,0.6,0.6363636363636364,6,2,3,0.3,123
0.78,0.8079999999999999,0.78,0.6666666666666666,6,2,3,0.3,456
0.66,0.695,0.66,0.6,6,2,3,0.3,89
0.6724137931034483,0.6694096133751305,0.6724137931034483,0.56,6,2,3,0.35,42
0.6206896551724138,0.6142677649029737,0.6206896551724138,0.44,6,2,3,0.35,123
0.5862068965517241,0.610344827586207,0.5862068965517241,0.4,6,2,3,0.35,456
0.7758620689655172,0.815500338066261,0.7758620689655172,0.8235294117647058,6,2,3,0.35,89
0.696969696969697,0.6914600550964188,0.696969696969697,0.5384615384615384,6,2,3,0.4,42
0.5909090909090909,0.5937149270482603,0.5909090909090909,0.5,6,2,3,0.4,123
0.5151515151515151,0.5174603174603174,0.5151515151515151,0.3333333333333333,6,2,3,0.4,456
0.6060606060606061,0.6509455456823878,0.6060606060606061,0.55,6,2,3,0.4,89
0.64,0.6653846153846154,0.64,0.7,6,2,4,0.15,42
0.48,0.46147058823529413,0.48,0.2727272727272727,6,2,4,0.15,123
0.56,0.5846153846153846,0.56,0.5333333333333333,6,2,4,0.15,456
0.72,0.7329411764705881,0.72,0.5714285714285714,6,2,4,0.15,89
0.6666666666666666,0.6716791979949874,0.6666666666666666,0.6153846153846154,6,2,4,0.2,42
0.5757575757575758,0.5685425685425686,0.5757575757575758,0.42857142857142855,6,2,4,0.2,123
0.6363636363636364,0.6478114478114478,0.6363636363636364,0.65,6,2,4,0.2,456
0.7575757575757576,0.7575757575757576,0.7575757575757576,0.6,6,2,4,0.2,89
0.5714285714285714,0.5895691609977324,0.5714285714285714,0.5882352941176471,6,2,4,0.25,42
0.6190476190476191,0.6165826330532214,0.6190476190476191,0.5263157894736842,6,2,4,0.25,123
0.6666666666666666,0.6818181818181819,0.6666666666666666,0.625,6,2,4,0.25,456
0.7619047619047619,0.7925824175824174,0.7619047619047619,0.75,6,2,4,0.25,89
0.64,0.6373333333333333,0.64,0.5454545454545454,6,2,4,0.3,42
0.56,0.5525,0.56,0.4090909090909091,6,2,4,0.3,123
0.52,0.5560914760914761,0.52,0.2962962962962963,6,2,4,0.3,456
0.64,0.6837438423645321,0.64,0.6,6,2,4,0.3,89
0.6896551724137931,0.6875133861640609,0.6896551724137931,0.6,6,2,4,0.35,42
0.5517241379310345,0.5397179952533855,0.5517241379310345,0.36,6,2,4,0.35,123
0.5344827586206896,0.5406296851574213,0.5344827586206896,0.43333333333333335,6,2,4,0.35,456
0.7413793103448276,0.78249661933739,0.7413793103448276,0.7647058823529411,6,2,4,0.35,89
0.6515151515151515,0.6492830746489283,0.6515151515151515,0.5384615384615384,6,2,4,0.4,42
0.5606060606060606,0.5635845635845637,0.5606060606060606,0.46153846153846156,6,2,4,0.4,123
0.5151515151515151,0.5174603174603174,0.5151515151515151,0.3333333333333333,6,2,4,0.4,456
0.7272727272727273,0.7676008202323992,0.7272727272727273,0.75,6,2,4,0.4,89
0.68,0.68,0.68,0.6,6,2,5,0.15,42
0.48,0.46147058823529413,0.48,0.2727272727272727,6,2,5,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,5,0.15,456
0.76,0.7855555555555556,0.76,0.7142857142857143,6,2,5,0.15,89
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6923076923076923,6,2,5,0.2,42
0.5757575757575758,0.5685425685425686,0.5757575757575758,0.42857142857142855,6,2,5,0.2,123
0.6363636363636364,0.6478114478114478,0.6363636363636364,0.65,6,2,5,0.2,456
0.7878787878787878,0.7947658402203857,0.7878787878787878,0.7,6,2,5,0.2,89
0.5952380952380952,0.6082251082251082,0.5952380952380952,0.5882352941176471,6,2,5,0.25,42
0.5952380952380952,0.5935846560846562,0.5952380952380952,0.5263157894736842,6,2,5,0.25,123
0.7142857142857143,0.7637362637362638,0.7142857142857143,0.5833333333333334,6,2,5,0.25,456
0.7857142857142857,0.8252100840336134,0.7857142857142857,0.8333333333333334,6,2,5,0.25,89
0.62,0.6272000000000001,0.62,0.6363636363636364,6,2,5,0.3,42
0.54,0.5422866344605475,0.54,0.5,6,2,5,0.3,123
0.46,0.47294117647058825,0.46,0.2962962962962963,6,2,5,0.3,456
0.72,0.7315508021390374,0.72,0.6,6,2,5,0.3,89
0.6379310344827587,0.6398375331564986,0.6379310344827587,0.6,6,2,5,0.35,42
0.5344827586206896,0.5233666061705989,0.5344827586206896,0.36,6,2,5,0.35,123
0.4482758620689655,0.4471264367816091,0.4482758620689655,0.26666666666666666,6,2,5,0.35,456
0.7413793103448276,0.78249661933739,0.7413793103448276,0.7647058823529411,6,2,5,0.35,89
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6923076923076923,6,2,5,0.4,42
