Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.15,123,0.1,l1,liblinear,balanced,0.6142857142857143,0.7358182993477111,0.588235294117647
0.15,123,0.1,l2,liblinear,,0.6785714285714286,0.7688328664799253,0.6928104575163399
0.15,123,0.1,l2,liblinear,balanced,0.6714285714285715,0.7971794871794872,0.6352941176470589
0.15,123,1.0,l1,liblinear,,0.65,0.7282679738562091,0.7026143790849673
0.15,123,1.0,l1,liblinear,balanced,0.6571428571428571,0.7546825396825396,0.6679738562091504
0.15,123,1.0,l2,liblinear,,0.6642857142857143,0.7494887955182074,0.7052287581699347
0.15,123,1.0,l2,liblinear,balanced,0.6428571428571429,0.7451282051282051,0.658169934640523
0.15,123,10.0,l1,liblinear,,0.6142857142857143,0.7012899896800826,0.6692810457516339
0.15,123,10.0,l1,liblinear,balanced,0.6214285714285714,0.7149673202614378,0.6581699346405229
0.15,123,10.0,l2,liblinear,,0.65,0.7409615384615384,0.6816993464052288
0.15,123,10.0,l2,liblinear,balanced,0.6357142857142856,0.7342948717948719,0.6581699346405229
0.15,123,100.0,l1,liblinear,,0.65,0.7333333333333333,0.6928104575163399
0.15,123,100.0,l1,liblinear,balanced,0.65,0.7333333333333333,0.6928104575163399
0.15,123,100.0,l2,liblinear,,0.6214285714285713,0.7127217553688142,0.6588235294117647
0.15,123,100.0,l2,liblinear,balanced,0.6214285714285713,0.7193438914027149,0.6470588235294118
0.15,123,1000.0,l1,liblinear,,0.6214285714285714,0.7085714285714286,0.6699346405228759
0.15,123,1000.0,l1,liblinear,balanced,0.6214285714285714,0.7085714285714286,0.6699346405228759
0.15,123,1000.0,l2,liblinear,,0.6571428571428571,0.7350901764214457,0.7039215686274509
0.15,123,1000.0,l2,liblinear,balanced,0.6571428571428571,0.7350901764214457,0.7039215686274509
0.15,456,0.1,l1,liblinear,,0.6642857142857143,0.7511666666666666,0.7818713450292397
0.15,456,0.1,l1,liblinear,balanced,0.6714285714285715,0.8383492822966507,0.631578947368421
0.15,456,0.1,l2,liblinear,,0.7428571428571428,0.7996491228070176,0.8152046783625732
0.15,456,0.1,l2,liblinear,balanced,0.7428571428571429,0.8347712418300652,0.7608187134502924
0.15,456,1.0,l1,liblinear,,0.7142857142857142,0.7715789473684211,0.804093567251462
0.15,456,1.0,l1,liblinear,balanced,0.7357142857142857,0.822485380116959,0.7725146198830409
0.15,456,1.0,l2,liblinear,,0.7,0.7674853801169591,0.7830409356725146
0.15,456,1.0,l2,liblinear,balanced,0.7071428571428571,0.796953167231805,0.7514619883040935
0.15,456,10.0,l1,liblinear,,0.6642857142857143,0.7526633986928105,0.7292397660818712
0.15,456,10.0,l1,liblinear,balanced,0.6714285714285715,0.7618137254901961,0.7292397660818712
0.15,456,10.0,l2,liblinear,,0.6571428571428571,0.7425555868280327,0.7403508771929824
0.15,456,10.0,l2,liblinear,balanced,0.6571428571428571,0.7513538748832866,0.7192982456140351
0.15,456,100.0,l1,liblinear,,0.6928571428571428,0.7716821465428276,0.7608187134502924
0.15,456,100.0,l1,liblinear,balanced,0.6928571428571428,0.7716821465428276,0.7608187134502924
0.15,456,100.0,l2,liblinear,,0.6785714285714286,0.7613725490196079,0.7502923976608187
0.15,456,100.0,l2,liblinear,balanced,0.6642857142857144,0.7550739594083248,0.7280701754385964
0.15,456,1000.0,l1,liblinear,,0.7142857142857144,0.7836429308565532,0.7824561403508772
0.15,456,1000.0,l1,liblinear,balanced,0.7142857142857144,0.7836429308565532,0.7824561403508772
0.15,456,1000.0,l2,liblinear,,0.6785714285714286,0.7596491228070176,0.7502923976608187
0.15,456,1000.0,l2,liblinear,balanced,0.6857142857142857,0.7666666666666667,0.7502923976608187
0.15,89,0.1,l1,liblinear,,0.7,0.8249197860962567,0.6441176470588235
0.15,89,0.1,l1,liblinear,balanced,0.6857142857142857,0.8197727272727274,0.6198529411764706
0.15,89,0.1,l2,liblinear,,0.7214285714285713,0.7708963585434174,0.775735294117647
0.15,89,0.1,l2,liblinear,balanced,0.7357142857142858,0.8224561403508771,0.7286764705882354
0.15,89,1.0,l1,liblinear,,0.7428571428571429,0.7774859943977591,0.8117647058823529
0.15,89,1.0,l1,liblinear,balanced,0.7285714285714285,0.7951029534620865,0.7514705882352941
0.15,89,1.0,l2,liblinear,,0.7214285714285714,0.76,0.7875
0.15,89,1.0,l2,liblinear,balanced,0.7214285714285714,0.7794838056680162,0.7632352941176471
0.15,89,10.0,l1,liblinear,,0.7285714285714286,0.7730252100840336,0.7742647058823529
0.15,89,10.0,l1,liblinear,balanced,0.7357142857142858,0.7825840336134453,0.7742647058823529
0.15,89,10.0,l2,liblinear,,0.7142857142857144,0.7556209150326797,0.774264705882353
0.15,89,10.0,l2,liblinear,balanced,0.7214285714285715,0.7656209150326797,0.774264705882353
0.15,89,100.0,l1,liblinear,,0.7214285714285715,0.7656395891690009,0.774264705882353
0.15,89,100.0,l1,liblinear,balanced,0.7214285714285715,0.7656395891690009,0.774264705882353
0.15,89,100.0,l2,liblinear,,0.7142857142857143,0.7620123839009288,0.7625000000000001
0.15,89,100.0,l2,liblinear,balanced,0.7142857142857143,0.7620123839009288,0.7625000000000001
0.15,89,1000.0,l1,liblinear,,0.7142857142857142,0.7682539682539682,0.7514705882352941
0.15,89,1000.0,l1,liblinear,balanced,0.7,0.7623062558356676,0.7272058823529413
0.15,89,1000.0,l2,liblinear,,0.7214285714285713,0.7645123839009288,0.774264705882353
0.15,89,1000.0,l2,liblinear,balanced,0.7214285714285713,0.7645123839009288,0.774264705882353
0.2,42,0.1,l1,liblinear,,0.6655270655270655,0.7588038277511963,0.6676470588235295
0.2,42,0.1,l1,liblinear,balanced,0.6883190883190884,0.8096853146853146,0.6433823529411764
0.2,42,0.1,l2,liblinear,,0.7116809116809116,0.7622875816993464,0.7794117647058824
0.2,42,0.1,l2,liblinear,balanced,0.7273504273504272,0.7992063492063493,0.7558823529411764
