Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall
0.2,42,50,,0.7415954415954417,0.7597665732959851,0.8514705882352942
0.2,42,50,balanced,0.7951566951566951,0.8001670843776107,0.9014705882352942
0.2,42,100,,0.725925925925926,0.7541176470588236,0.8272058823529411
0.2,42,100,balanced,0.7264957264957266,0.75,0.8404411764705882
0.2,42,200,,0.7031339031339032,0.7507843137254901,0.7779411764705882
0.2,42,200,balanced,0.7193732193732194,0.7426905499041722,0.8404411764705882
0.2,42,500,,0.7188034188034187,0.7527077497665733,0.8154411764705882
0.2,42,500,balanced,0.7341880341880342,0.76406309892378,0.8279411764705882
0.2,123,10,,0.6968660968660969,0.7366267330730919,0.8205882352941176
0.2,123,10,balanced,0.6512820512820513,0.714795321637427,0.7477941176470588
0.2,123,50,,0.6575498575498575,0.6995543672014259,0.8183823529411764
0.2,123,50,balanced,0.6726495726495727,0.7185714285714285,0.7941176470588236
0.2,123,100,,0.6353276353276354,0.6871078431372549,0.7823529411764706
0.2,123,100,balanced,0.6732193732193732,0.7057940752058399,0.8316176470588236
0.2,123,200,,0.6888888888888889,0.7257983193277311,0.8198529411764707
0.2,123,200,balanced,0.6809116809116809,0.7043669780511885,0.8558823529411764
0.2,123,500,,0.6507122507122507,0.6871238702817649,0.8198529411764707
0.2,123,500,balanced,0.6809116809116809,0.7029551150603781,0.8558823529411764
0.2,456,10,,0.7122507122507123,0.7586507936507936,0.8542483660130719
0.2,456,10,balanced,0.7045584045584046,0.7592731829573935,0.8202614379084968
0.2,456,50,,0.7344729344729345,0.7722818244557375,0.876470588235294
0.2,456,50,balanced,0.6960113960113962,0.7202380952380952,0.9098039215686274
0.2,456,100,,0.7350427350427349,0.7585960949805344,0.8986928104575164
0.2,456,100,balanced,0.6891737891737891,0.7128787878787879,0.9098039215686274
0.2,456,200,,0.7498575498575498,0.7681199045043439,0.9098039215686274
0.2,456,200,balanced,0.7267806267806268,0.7419169960474308,0.9209150326797385
0.2,456,500,,0.7344729344729345,0.7503380486790098,0.9209150326797385
0.2,456,500,balanced,0.7418803418803418,0.7496517974778845,0.9313725490196079
0.2,89,10,,0.7122507122507122,0.7540350877192983,0.7716666666666667
0.2,89,10,balanced,0.6894586894586894,0.7388843904633378,0.7725
