Test Size,Random State,N_Neighbors,Accuracy,Precision,Recall
0.2,34,9,0.658974358974359,0.6411752305665348,0.9475000000000001
0.2,34,11,0.6735042735042734,0.6527841342486651,0.9466666666666667
0.2,74,3,0.6826210826210827,0.7001754385964912,0.8404411764705882
0.2,74,5,0.6746438746438747,0.6989854314931714,0.8279411764705882
0.2,74,7,0.6672364672364672,0.680889724310777,0.8654411764705883
0.2,74,9,0.6891737891737891,0.6821193299454168,0.9257352941176471
0.2,74,11,0.6743589743589744,0.6796555618294748,0.8889705882352942
0.25,42,3,0.6486666666666667,0.6932367683915672,0.8033333333333333
0.25,42,5,0.6813333333333333,0.6997474747474747,0.8675
0.25,42,7,0.6733333333333333,0.6932976827094475,0.8675
0.25,42,9,0.6903333333333334,0.7004784688995215,0.8949999999999999
0.25,42,11,0.7070000000000001,0.7114795008912657,0.9083333333333334
0.25,123,3,0.7153333333333334,0.7238850750063565,0.9108333333333334
0.25,123,5,0.6903333333333335,0.7076232247284879,0.8975
0.25,123,7,0.6343333333333333,0.6607378129117258,0.885
0.25,123,9,0.6423333333333333,0.6581620553359684,0.9233333333333335
0.25,123,11,0.6586666666666667,0.658171277997365,0.9741666666666667
0.25,456,3,0.6666666666666667,0.7085592769803297,0.8683823529411765
0.25,456,5,0.7,0.7179737882255045,0.9286764705882353
0.25,456,7,0.708,0.7152173913043478,0.9522058823529411
0.25,456,9,0.7076666666666667,0.7159090909090909,0.9522058823529411
0.25,456,11,0.6996666666666667,0.7019090909090909,0.9764705882352942
0.25,89,3,0.6336666666666667,0.6590204678362573,0.7933333333333332
0.25,89,5,0.667,0.6737628384687209,0.8476190476190476
0.25,89,7,0.6433333333333334,0.6473816895179124,0.862857142857143
0.25,89,9,0.6506666666666667,0.6493817878028405,0.8895238095238096
0.25,89,11,0.6586666666666667,0.6553978937112602,0.9028571428571428
0.25,36,3,0.7070000000000001,0.7257564200355964,0.8875
0.25,36,5,0.7310000000000001,0.7285209070106096,0.9375
0.25,36,7,0.7233333333333334,0.7077075098814228,0.975
0.25,36,9,0.7236666666666667,0.7002070393374741,1.0
0.25,36,11,0.7073333333333334,0.6874835309617918,1.0
0.25,95,3,0.6663333333333333,0.6914035087719298,0.8600000000000001
0.25,95,5,0.6743333333333335,0.6938160910297133,0.8858333333333335
0.25,95,7,0.7063333333333335,0.6993939393939393,0.9483333333333335
0.25,95,9,0.6826666666666668,0.6853220006538084,0.9225
0.25,95,11,0.6743333333333333,0.6767551289290419,0.9366666666666668
0.25,70,3,0.6016666666666667,0.6312197606315253,0.7771428571428572
0.25,70,5,0.642,0.6529943396816462,0.8476190476190476
0.25,70,7,0.6593333333333333,0.661237492708754,0.8761904761904763
0.25,70,9,0.6346666666666667,0.6397101449275362,0.8761904761904763
0.25,70,11,0.6346666666666667,0.6316643882433356,0.9161904761904761
0.25,34,3,0.724,0.7186512180629828,0.8904761904761905
0.25,34,5,0.7150000000000001,0.7075245658904294,0.9028571428571428
0.25,34,7,0.6823333333333333,0.6720889179470415,0.9314285714285713
0.25,34,9,0.6656666666666666,0.6536796536796536,0.9447619047619048
0.25,34,11,0.6493333333333333,0.6416901938641069,0.9447619047619048
0.25,74,3,0.683,0.6995603089720737,0.8533333333333335
0.25,74,5,0.6746666666666666,0.6835434173669468,0.8799999999999999
0.25,74,7,0.6836666666666666,0.688755980861244,0.8933333333333333
0.25,74,9,0.6833333333333333,0.6754852876592008,0.9333333333333333
0.25,74,11,0.6343333333333333,0.6427489177489176,0.9066666666666666
0.3,42,3,0.6782608695652174,0.715110079119367,0.8371428571428572
0.3,42,5,0.7130434782608694,0.7379566563467492,0.878095238095238
0.3,42,7,0.7391304347826086,0.7461079168509509,0.9047619047619048
0.3,42,9,0.7217391304347827,0.717532065457762,0.9304761904761906
0.3,42,11,0.7130434782608696,0.7039936798518034,0.9580952380952381
0.3,123,3,0.6695652173913043,0.7000730994152047,0.8523809523809524
0.3,123,5,0.6956521739130433,0.7161021984551397,0.8790476190476191
0.3,123,7,0.6782608695652174,0.6882539682539682,0.919047619047619
0.3,123,9,0.6782608695652174,0.6733333333333333,0.9733333333333334
