Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.2,89,1.0,l1,liblinear,balanced,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,1.0,l2,liblinear,,0.6666666666666666,0.7307692307692307,0.8260869565217391,0.3
0.2,89,1.0,l2,liblinear,balanced,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,10.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l2,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l2,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l2,liblinear,,0.6060606060606061,0.7083333333333334,0.7391304347826086,0.3
0.2,89,100.0,l2,liblinear,balanced,0.6060606060606061,0.7083333333333334,0.7391304347826086,0.3
0.2,89,1000.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l2,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l2,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.25,42,0.1,l1,liblinear,,0.5952380952380952,0.6818181818181818,0.6,0.5882352941176471
0.25,42,0.1,l1,liblinear,balanced,0.5714285714285714,0.6842105263157895,0.52,0.6470588235294118
0.25,42,0.1,l2,liblinear,,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,0.1,l2,liblinear,balanced,0.6904761904761905,0.7727272727272727,0.68,0.7058823529411765
0.25,42,1.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1.0,l1,liblinear,balanced,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,1.0,l2,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,1.0,l2,liblinear,balanced,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,10.0,l1,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,10.0,l1,liblinear,balanced,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,10.0,l2,liblinear,,0.6666666666666666,0.6774193548387096,0.84,0.4117647058823529
0.25,42,10.0,l2,liblinear,balanced,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,100.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,100.0,l1,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,100.0,l2,liblinear,,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,100.0,l2,liblinear,balanced,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,1000.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l1,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l2,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l2,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,123,0.1,l1,liblinear,,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,0.1,l1,liblinear,balanced,0.6190476190476191,0.6842105263157895,0.5652173913043478,0.6842105263157895
0.25,123,0.1,l2,liblinear,,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,0.1,l2,liblinear,balanced,0.6666666666666666,0.68,0.7391304347826086,0.5789473684210527
0.25,123,1.0,l1,liblinear,,0.6190476190476191,0.6296296296296297,0.7391304347826086,0.47368421052631576
0.25,123,1.0,l1,liblinear,balanced,0.5952380952380952,0.6153846153846154,0.6956521739130435,0.47368421052631576
0.25,123,1.0,l2,liblinear,,0.6190476190476191,0.6129032258064516,0.8260869565217391,0.3684210526315789
0.25,123,1.0,l2,liblinear,balanced,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,10.0,l1,liblinear,,0.6190476190476191,0.6129032258064516,0.8260869565217391,0.3684210526315789
